"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1519.7,15,13,29,57,180,233,317,10.6,8.33,6.44,4.55,69,73,43,62,54,13,9,0,0,-4,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,43,735.73,11,3,6,20,56,78,114,4.01,19.64,14.1,5.14,36,23,11,19,39,5,6,0,0,1,0,0,0
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,76.92,2,0,0,2,5,6,7,1.03,40,33.33,17.17,2,1,2,2,11,1,1,0,0,0,17,12,5
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,10,80.72,0,0,0,0,9,11,13,0.63,0,0,5.73,4,1,1,2,9,0,0,0,0,0,2,2,0
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,67,909.23,5,7,4,16,93,118,144,8.63,5.38,4.24,7.31,40,16,19,127,57,11,10,2,2,-1,33,29,4
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,66,1585.47,10,32,24,66,125,158,224,6.58,8,6.33,4.16,120,48,66,27,95,9,13,0,0,4,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI","C","R",1996-10-03,24,2015,5,149,8,84.17,1,0,1,2,10,14,19,1.14,10,7.14,8.14,1,1,3,9,6,2,3,0,0,1,2,3,-1
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","OTT","C","R",1996-10-03,24,2015,5,149,35,415.73,4,5,3,12,68,89,114,5.84,5.88,4.49,6.56,8,10,15,45,26,3,3,1,1,0,39,56,-17
"Adam Henrique","ADAM.HENRIQUE","8474641","21-22","ANA","C","L",1990-02-06,31,2008,3,82,46,788.98,14,12,7,33,110,153,184,16.03,12.73,9.15,10.48,40,17,14,19,36,4,5,0,0,1,198,160,38
"Adam Larsson","ADAM.LARSSON","8476457","21-22","SEA","D","R",1992-11-12,28,2011,1,4,68,1495.22,6,7,6,19,90,139,205,3.02,6.67,4.32,2.17,115,31,18,156,71,21,7,1,1,-14,0,0,0
"Adam Lowry","ADAM.LOWRY","8476392","21-22","WPG","C/L","L",1993-03-29,28,2011,3,67,66,1012.55,10,5,2,17,87,126,152,13,11.49,7.94,10.32,32,18,35,202,88,6,15,6,6,9,450,403,47
"Adam Pelech","ADAM.PELECH","8476917","21-22","NYI","D","L",1994-08-16,27,2012,3,65,63,1343.83,3,9,12,24,83,111,174,4.87,3.61,2.7,4.39,102,41,33,85,95,6,3,0,0,-3,0,0,0
"Adam Ruzicka","ADAM.RUZICKA","8480008","21-22","CGY","C","L",1999-05-11,22,2017,4,109,23,233.73,5,4,0,9,27,38,47,2.73,18.52,13.16,7.18,5,8,4,19,19,4,3,0,0,-1,91,99,-8
"Adrian Kempe","ADRIAN.KEMPE","8477960","21-22","L.A","C/L","L",1996-09-13,25,2014,1,29,67,1235.67,28,5,10,43,197,273,367,24.05,14.21,10.26,8.81,21,37,31,89,59,19,23,0,0,4,22,22,0
"Alec Martinez","ALEC.MARTINEZ","8474166","21-22","VGK","D","L",1987-07-26,34,2007,4,95,14,272.3,0,1,3,4,12,15,26,0.26,0,0,1.73,44,13,5,14,22,2,1,0,0,-1,0,0,0
"Alec Regula","ALEC.REGULA","8480831","21-22","CHI","D","R",2000-08-06,21,2018,3,67,6,96.33,0,0,0,0,2,3,7,0.09,0,0,3,5,4,3,9,16,1,3,0,0,2,0,0,0
"Aleksander Barkov","ALEKSANDER.BARKOV","8477493","21-22","FLA","C","L",1995-09-02,26,2013,1,2,54,1099.18,31,17,20,68,176,225,276,23.72,17.61,13.78,10.54,35,40,53,44,58,6,7,0,1,2,590,464,126
"Aleksi Heponiemi","ALEKSI.HEPONIEMI","8480037","21-22","FLA","C","L",1999-01-09,22,2017,2,40,4,50.63,0,0,0,0,5,6,6,0.6,0,0,10,1,3,3,0,4,0,0,0,0,0,2,3,-1
"Alex Barabanov","ALEX.BARABANOV","8482222","21-22","S.J","L","L",1994-06-17,27,2012,NA,NA,59,1013.18,10,14,13,37,86,113,141,9.87,11.63,8.85,8.73,35,27,32,45,104,7,12,0,0,5,0,1,-1
"Alex Barre-Boulet","ALEX.BARRE-BOULET","8479718","21-22","T.B","C","L",1997-05-21,24,2015,NA,NA,14,158.75,3,2,0,5,16,21,27,2.1,18.75,14.29,10,3,2,4,10,6,2,3,0,0,1,6,9,-3
"Alex Belzile","ALEX.BELZILE","8475968","21-22","MTL","R","R",1991-08-31,30,2009,NA,NA,11,114.32,0,0,0,0,13,14,19,1.04,0,0,7.43,5,5,3,17,12,2,2,0,0,0,6,7,-1
"Alex Carrier","ALEX.CARRIER","8478851","21-22","NSH","D","R",1996-10-08,24,2015,4,115,63,1312.72,2,12,13,27,76,104,153,4.48,2.63,1.92,4.31,99,30,24,65,158,22,15,0,0,-7,0,1,-1
"Alex Chiasson","ALEX.CHIASSON","8475163","21-22","VAN","R","R",1990-10-01,30,2009,2,38,56,601.02,7,3,2,12,65,77,94,7.47,10.77,9.09,9.7,13,6,5,57,69,4,8,0,0,4,7,8,-1
"Alex Chmelevski","ALEX.CHMELEVSKI","8480053","21-22","S.J","C","R",1999-06-09,22,2017,6,185,5,69.37,0,0,1,1,6,9,11,0.6,0,0,6.67,2,0,1,6,4,1,0,0,0,-1,11,12,-1
"Alex Debrincat","ALEX.DEBRINCAT","8479337","21-22","CHI","L/R","R",1997-12-18,23,2016,2,39,69,1420.12,39,17,9,65,227,293,395,27.84,17.18,13.31,9.5,31,35,53,88,93,6,19,1,1,13,17,30,-13
"Alex Edler","ALEX.EDLER","8471303","21-22","L.A","D","L",1986-04-21,35,2004,3,91,32,580.02,2,6,6,14,45,66,100,1.85,4.44,3.03,2.8,47,11,7,48,67,11,9,0,0,-2,0,0,0
"Alex Formenton","ALEX.FORMENTON","8480029","21-22","OTT","L","L",1999-09-13,22,2017,2,47,64,969.48,15,7,6,28,130,168,208,17.46,11.54,8.93,10.39,21,22,39,83,51,16,13,2,2,-3,7,6,1
"Alex Galchenyuk","ALEX.GALCHENYUK","8476851","21-22","ARI","C","L",1994-02-12,27,2012,1,3,48,635.52,5,4,7,16,65,91,108,7.15,7.69,5.49,7.86,22,21,13,51,50,12,4,0,0,-8,165,149,16
"Alex Goligoski","ALEX.GOLIGOSKI","8471274","21-22","MIN","D","L",1985-07-30,36,2004,2,61,58,1101.82,3,10,15,28,67,85,144,2.49,4.48,3.53,2.93,75,20,6,46,60,16,8,0,0,-8,0,0,0
"Alex Holtz","ALEX.HOLTZ","8482125","21-22","N.J","R","R",2002-01-23,19,2020,1,7,7,81.88,0,1,1,2,11,16,21,0.82,0,0,5.12,2,1,4,4,8,1,2,0,0,1,0,0,0
"Alex Iafallo","ALEX.IAFALLO","8480113","21-22","L.A","L","L",1993-12-21,27,2012,NA,NA,68,1262.2,15,9,9,33,185,254,298,19.96,8.11,5.91,7.86,50,11,41,43,60,2,9,0,0,7,13,12,1
"Alex Kerfoot","ALEX.KERFOOT","8477021","21-22","TOR","C","L",1994-08-11,27,2012,5,150,67,1020.18,11,19,16,46,97,131,157,10.7,11.34,8.4,8.17,54,35,28,61,125,7,17,0,0,10,51,78,-27
"Alex Killorn","ALEX.KILLORN","8473986","21-22","T.B","C/L","L",1989-09-14,32,2007,3,77,67,1268.08,21,17,13,51,124,172,211,17.96,16.94,12.21,10.44,21,24,35,71,92,27,21,0,0,-6,1,9,-8
"Alex Newhook","ALEX.NEWHOOK","8481618","21-22","COL","C","L",2001-01-28,20,2019,1,16,58,797.1,12,4,8,24,99,124,170,8.38,12.12,9.68,6.76,25,13,19,33,60,6,10,0,0,4,123,240,-117
"Alex Ovechkin","ALEX.OVECHKIN","8471214","21-22","WSH","L","R",1985-09-17,35,2004,1,1,66,1390.92,42,21,15,78,293,411,564,31.11,14.33,10.22,7.57,20,44,27,122,42,9,8,0,0,-1,4,8,-4
"Alex Pietrangelo","ALEX.PIETRANGELO","8474565","21-22","VGK","D","R",1990-01-18,31,2008,1,4,68,1696.02,12,15,12,39,195,268,393,11.24,6.15,4.48,4.19,141,48,83,60,160,15,7,0,0,-8,0,0,0
"Alex Radulov","ALEX.RADULOV","8471228","21-22","DAL","R","L",1986-07-05,35,2004,1,15,60,873.28,4,12,5,21,84,130,166,12.05,4.76,3.08,9.27,47,25,26,38,64,16,12,0,0,-4,9,10,-1
"Alex Romanov","ALEX.ROMANOV","8481014","21-22","MTL","D","L",2000-01-06,21,2018,2,38,65,1301.8,3,2,7,12,88,120,196,2.75,3.41,2.5,2.29,119,65,19,202,146,12,7,3,3,-5,0,0,0
