"Player","Pos","Season","Team","GP","TOI","ATOI","G","A","Pts","SOG","BLK","HIT","PPP","SHP","W","SV","GA","FPV","FPV Adj","Pos Rank"
"Connor McDavid","F","21-22","EDM",82,1790,21.8,46,70,116,278,32,72,38,0,0,0,0,418,310,1
"Nathan MacKinnon","F","21-22","COL",82,1713,20.9,41,72,112,371,27,47,35,0,0,0,0,406,299,2
"Leon Draisaitl","F","21-22","EDM",82,1781,21.7,44,69,113,278,26,42,37,1,0,0,0,402,295,3
"Nikita Kucherov","F","21-22","T.B",82,1565,19.1,44,71,115,281,24,34,31,0,0,0,0,399,292,4
"Auston Matthews","F","21-22","TOR",82,1754,21.4,46,45,91,334,73,64,24,0,0,0,0,370,263,5
"Connor Hellebuyck","G","21-22","WPG",0,0,0,0,0,0,0,0,0,0,0,41,1899,172,412,259,1
"Brad Marchand","F","21-22","BOS",82,1509,18.4,39,64,103,223,24,80,26,3,0,0,0,361,254,7
"Jonathan Huberdeau","F","21-22","FLA",82,1502,18.3,37,69,106,205,20,57,34,0,0,0,0,362,254,6
"Juuse Saros","G","21-22","NSH",0,0,0,0,0,0,0,0,0,0,0,36,1917,159,406,254,2
"Sebastian Aho","F","21-22","CAR",82,1634,19.9,43,52,95,270,46,51,26,3,0,0,0,358,251,8
"Mark Scheifele","F","21-22","WPG",82,1685,20.5,38,66,104,204,54,31,29,0,0,0,0,356,248,9
"Mikko Rantanen","F","21-22","COL",78,1538,19.8,39,55,94,251,27,36,33,0,0,0,0,346,239,10
"Aleksander Barkov","F","21-22","FLA",82,1705,20.8,36,57,93,254,61,32,31,2,0,0,0,345,238,11
"Andrei Vasilevskiy","G","21-22","T.B",0,0,0,0,0,0,0,0,0,0,0,41,1764,169,389,236,3
"Artemi Panarin","F","21-22","NYR",82,1642,20,35,70,105,201,14,6,27,0,0,0,0,338,231,12
"Mika Zibanejad","F","21-22","NYR",82,1649,20.1,37,41,79,281,68,98,28,4,0,0,0,330,223,13
"Mitch Marner","F","21-22","TOR",82,1797,21.9,29,67,97,242,64,23,24,3,0,0,0,330,223,14
"David Pastrnak","F","21-22","BOS",76,1433,18.8,38,48,87,263,18,44,28,0,0,0,0,326,218,15
"Patrick Kane","F","21-22","CHI",82,1758,21.4,31,60,91,264,25,4,33,0,0,0,0,322,215,16
"Kyle Connor","F","21-22","WPG",82,1594,19.4,43,40,82,278,27,16,21,0,0,0,0,319,212,17
"Semyon Varlamov","G","21-22","NYI",0,0,0,0,0,0,0,0,0,0,0,30,1756,145,358,205,4
"Mark Stone","F","21-22","VGK",82,1558,19,31,56,87,197,62,40,24,1,0,0,0,308,201,18
"Andrei Svechnikov","F","21-22","CAR",82,1515,18.5,32,46,78,251,33,198,23,0,0,0,0,306,199,19
"Patrice Bergeron","F","21-22","BOS",78,1349,17.4,36,39,75,255,53,52,22,3,0,0,0,300,192,20
"Brayden Point","F","21-22","T.B",82,1561,19,35,49,84,200,29,13,25,0,0,0,0,299,192,21
"Jakob Chychrun","D","21-22","ARI",82,1908,23.3,23,39,62,264,141,76,18,0,0,0,0,265,189,1
"Elias Lindholm","F","21-22","CGY",82,1630,19.9,32,43,75,214,58,81,27,2,0,0,0,295,188,22
"John Carlson","D","21-22","WSH",82,1923,23.4,14,61,75,210,123,61,23,0,0,0,0,264,187,2
"Matthew Tkachuk","F","21-22","CGY",82,1524,18.6,32,44,75,240,16,187,22,0,0,0,0,294,187,23
"Gabriel Landeskog","F","21-22","COL",79,1558,19.7,31,43,74,228,45,123,26,0,0,0,0,290,183,24
"Alex Debrincat","F","21-22","CHI",82,1649,20.1,32,40,72,242,34,97,26,0,0,0,0,288,181,25
"Adam Fox","D","21-22","NYR",82,1892,23.1,11,58,69,196,156,30,30,2,0,0,0,256,179,3
"Jake Guentzel","F","21-22","PIT",82,1652,20.1,32,45,77,211,42,69,20,0,0,0,0,286,179,26
"Victor Hedman","D","21-22","T.B",82,1963,23.9,14,54,68,206,110,69,30,1,0,0,0,255,178,4
"Cale Makar","D","21-22","COL",82,2001,24.4,15,55,71,194,78,77,28,0,0,0,0,253,177,5
"Dougie Hamilton","D","21-22","N.J",82,1834,22.4,16,49,65,286,91,81,21,1,0,0,0,252,176,6
"Sean Couturier","F","21-22","PHI",82,1566,19.1,32,46,78,197,41,49,17,2,0,0,0,283,176,27
"Jacob Markstrom","G","21-22","CGY",0,0,0,0,0,0,0,0,0,0,0,30,1565,137,327,174,5
"Sidney Crosby","F","21-22","PIT",82,1570,19.1,28,49,77,197,32,48,29,0,0,0,0,280,173,30
"John Tavares","F","21-22","TOR",82,1505,18.4,31,45,76,234,37,56,18,0,0,0,0,280,173,29
"Max Pacioretty","F","21-22","VGK",76,1335,17.5,34,36,71,272,35,64,16,0,0,0,0,281,173,28
"David Perron","F","21-22","STL",81,1439,17.8,31,46,77,205,30,53,23,0,0,0,0,279,172,32
