"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","21-22","FLA","D",61,1047.8,63.35,58.86,59.73,59.25,59.01,3.83,2.21,39.28,27.45,51.7,34.85,69.35,47.69,3.29,2.29,1.61,11.83,16.85,21.66,1.01,9.74,91.94
"Adam Boqvist","21-22","CBJ","D",41,596.28,45.63,46.47,46.64,47.43,45.39,2.9,3.46,33.36,38.42,44.54,50.95,58.07,64.36,2.47,2.97,-0.56,-5.06,-6.41,-6.3,-0.5,8.7,91
"Adam Brooks","21-22","VGK","C",7,74.08,100,55.17,54.73,54.23,57.99,2.54,0,32.51,26.42,44.09,36.47,58.04,48.98,3.26,2.37,2.54,6.09,7.62,9.06,0.9,7.8,100
"Adam Brooks","21-22","WPG","C",9,67.7,49.5,38.17,34.92,37.75,33.01,0.88,0.9,20.6,33.37,27.95,52.09,41.85,69.01,1.49,3.02,-0.02,-12.77,-24.13,-27.16,-1.53,4.26,97.32
"Adam Erne","21-22","DET","L",65,788.32,35.76,42.75,43.22,42.39,45.87,1.5,2.69,24.7,33.07,33.21,43.62,44.3,60.19,2.12,2.5,-1.19,-8.38,-10.41,-15.9,-0.38,6.07,91.86
"Adam Fox","21-22","NYR","D",63,1105.98,51.88,50.77,49.68,48.6,49.6,2.68,2.49,28.73,27.87,39.3,39.81,51.56,54.52,2.44,2.48,0.19,0.87,-0.51,-2.96,-0.04,9.32,91.08
"Adam Gaudette","21-22","CHI","C",8,73.42,23.92,31.55,36.41,39.82,40.04,0.77,2.44,15.96,34.63,24.47,42.74,36.18,54.68,1.48,2.21,-1.68,-18.67,-18.27,-18.5,-0.74,4.81,92.94
"Adam Gaudette","21-22","OTT","C",33,354.92,40.47,48.51,48.93,48.58,43.08,2.01,2.95,30.33,32.19,42.16,44.01,54.49,57.68,2.26,2.98,-0.95,-1.86,-1.85,-3.18,-0.73,6.62,90.83
"Adam Henrique","21-22","ANA","C",44,608.97,47.32,51.12,50.82,51.17,53.49,2.83,3.15,31,29.65,44.14,42.72,58.89,56.2,3,2.61,-0.32,1.36,1.42,2.7,0.39,9.13,89.37
"Adam Larsson","21-22","SEA","D",66,1233.23,38.72,47.11,47.75,48.67,43.99,2.17,3.44,25.48,28.6,36.58,40.03,49.91,52.63,1.93,2.46,-1.27,-3.12,-3.45,-2.72,-0.53,8.53,87.97
"Adam Lowry","21-22","WPG","C/L",64,768.75,36.74,48.67,48.79,48.24,51.21,1.08,1.86,27.95,29.48,39.25,41.2,51.82,55.6,2.33,2.22,-0.78,-1.53,-1.95,-3.78,0.11,3.86,93.7
"Adam Pelech","21-22","NYI","D",60,1059.55,60.31,51.04,50.55,50.24,51.1,2.86,1.88,30.68,29.43,41.21,40.31,54.46,53.94,2.57,2.46,0.98,1.25,0.89,0.52,0.11,9.31,93.61
"Adam Ruzicka","21-22","CGY","C",23,226.8,75.35,57.81,57.64,57.85,48.11,3.18,1.04,34.61,25.25,48.95,35.97,63.27,46.1,2.13,2.29,2.14,9.35,12.98,17.17,-0.17,9.18,95.88
"Adrian Kempe","21-22","L.A","C/L",65,851.13,42.27,54.06,54.36,54.4,49.77,2.1,2.87,33.96,28.86,46.62,39.14,62,51.97,2.61,2.64,-0.77,5.1,7.48,10.02,-0.02,6.19,90.05
"Alec Martinez","21-22","VGK","D",12,198.22,57.94,49.02,48.68,46.9,47.31,2.97,2.16,33.17,34.49,43.57,45.93,58.97,66.77,2.79,3.11,0.81,-1.33,-2.36,-7.8,-0.32,8.95,93.75
"Alec Regula","21-22","CHI","D",6,83.3,41.89,46.61,46.31,46.94,50,2.1,2.92,25.72,29.46,35.57,41.23,46.72,52.82,1.79,1.79,-0.81,-3.74,-5.66,-6.1,0,8.18,90.1
"Aleksander Barkov","21-22","FLA","C",52,685.55,63.66,60.14,59.44,60.01,58.59,3.79,2.16,41.13,27.26,54.13,36.94,71.21,47.46,3.37,2.38,1.63,13.87,17.19,23.75,0.99,9.21,92.07
"Alex Barabanov","21-22","S.J","L",57,825.65,56.51,46.3,45.77,45.38,46.67,2.77,2.13,27.37,31.74,38.32,45.4,52.37,63.04,2.25,2.57,0.64,-4.37,-7.08,-10.67,-0.32,10.1,93.29
"Alex Barre-Boulet","21-22","T.B","C",14,130.73,50.8,42.69,45.8,47.91,48.93,2.76,2.67,26.56,35.65,39.71,47,55.03,59.82,2.21,2.31,0.09,-9.09,-7.29,-4.79,-0.1,10.39,92.51
"Alex Belzile","21-22","MTL","R",11,97.3,61.32,50.89,46.89,49.63,42.92,1.89,1.19,30.53,29.46,36.08,40.87,48.38,49.11,1.72,2.29,0.7,1.07,-4.79,-0.73,-0.57,6.18,95.96
"Alex Carrier","21-22","NSH","D",61,970.17,63.74,47.63,47.39,47.82,47.13,2.83,1.61,28.61,31.46,38.98,43.27,51.65,56.37,2.14,2.4,1.22,-2.85,-4.29,-4.72,-0.26,9.88,94.89
"Alex Chiasson","21-22","VAN","R",55,481.78,47.12,48.29,47.4,47.42,45.2,1.74,1.96,28.63,30.66,38.84,43.1,52.29,57.98,1.98,2.4,-0.21,-2.03,-4.26,-5.69,-0.42,6.09,93.62
"Alex Debrincat","21-22","CHI","L/R",67,1015.62,48.05,49.45,48.04,47.66,50.02,2.86,3.09,31.32,32.01,40.78,44.11,54.86,60.24,2.48,2.48,-0.23,-0.69,-3.33,-5.39,0,9.14,90.34
"Alex Edler","21-22","L.A","D",30,468.72,54.2,59.86,58.85,57.51,56.32,2.34,1.98,40.14,26.91,53.88,37.67,69.83,51.58,3.06,2.37,0.36,13.23,16.21,18.25,0.69,5.84,92.64
"Alex Formenton","21-22","OTT","L",62,750.47,42.18,49.93,48.37,47.44,49.67,2.25,3.08,31.35,31.44,42.22,45.06,54.46,60.34,2.68,2.72,-0.83,-0.09,-2.84,-5.88,-0.04,7.17,90.2
"Alex Galchenyuk","21-22","ARI","C",46,563.05,42.32,38.11,38.22,39.2,36.63,2.45,3.34,23.97,38.93,32.69,52.84,43.36,67.25,1.99,3.43,-0.89,-14.96,-20.15,-23.89,-1.45,10.24,91.41
"Alex Goligoski","21-22","MIN","D",58,894.77,64.66,54.74,53.86,54.03,53.72,4.22,2.3,35.3,29.19,46.78,40.07,61.57,52.39,2.69,2.32,1.91,6.11,6.71,9.18,0.37,11.95,92.11
"Alex Holtz","21-22","N.J","R",7,64.83,28.12,35.7,36.03,36.25,32.85,1.81,4.64,20.32,36.6,27.82,49.38,40.93,71.98,1.67,3.41,-2.82,-16.28,-21.56,-31.05,-1.74,8.93,87.33
"Alex Iafallo","21-22","L.A","L",66,883.65,52.02,57.6,57.99,56.84,53.4,2.23,2.06,35.51,26.13,49.2,35.64,64.34,48.85,2.66,2.32,0.17,9.37,13.55,15.49,0.34,6.29,92.11
"Alex Kerfoot","21-22","TOR","C",65,837.9,55.79,51.42,51.18,51.18,52.72,3.7,2.93,32.38,30.59,43.79,41.77,58.14,55.45,2.57,2.3,0.77,1.79,2.02,2.69,0.26,11.42,90.42
"Alex Killorn","21-22","T.B","C/L",65,851.4,55.57,49.37,51.25,51.27,49.42,2.98,2.38,28.86,29.6,42.85,40.76,55.75,52.98,2.45,2.51,0.6,-0.74,2.09,2.77,-0.06,10.31,91.96
"Alex Newhook","21-22","COL","C",56,673.23,59.61,51.52,49.82,52.03,50.56,2.06,1.4,30.66,28.85,39.54,39.83,58.16,53.62,2.24,2.19,0.67,1.81,-0.29,4.55,0.05,6.73,95.15
"Alex Ovechkin","21-22","WSH","L",66,990.18,53.72,49.87,50.39,50.46,49.24,3.26,2.81,30.19,30.35,43.69,43.01,57.47,56.41,2.56,2.64,0.45,-0.16,0.68,1.06,-0.08,10.8,90.74
"Alex Pietrangelo","21-22","VGK","D",66,1242.48,49.12,53.7,54.09,53.64,50.13,2.53,2.62,34.08,29.38,46.51,39.48,63.11,54.55,2.89,2.87,-0.09,4.7,7.03,8.56,0.01,7.43,91.08
"Alex Radulov","21-22","DAL","R",58,695.13,46.71,49.37,48.65,47.7,52.55,2.02,2.3,29.4,30.14,40.38,42.62,53.33,58.48,2.64,2.38,-0.28,-0.74,-2.24,-5.14,0.26,6.86,92.37
"Alex Romanov","21-22","MTL","D",63,1054.93,46.33,44.96,44.82,45.24,44.73,2.33,2.7,27.49,33.65,37.27,45.88,50.95,61.66,2.18,2.7,-0.37,-6.16,-8.62,-10.71,-0.52,8.47,91.98
"Alex Texier","21-22","CBJ","C",36,441,43.39,43.4,44.46,45.18,42.91,2.7,3.52,27.76,36.21,38.11,47.6,50.34,61.07,2.26,3.01,-0.82,-8.45,-9.49,-10.74,-0.75,9.73,90.27
"Alex True","21-22","SEA","C",8,65.83,25.24,42.51,34.82,40.48,39.63,0.97,2.86,16.78,22.69,20.21,37.82,31.66,46.56,1.17,1.78,-1.9,-5.92,-17.62,-14.89,-0.61,5.76,87.39
"Alex Tuch","21-22","BUF","R",35,470.6,56.76,53.31,50.59,50.66,53.56,3.97,3.02,36.03,31.56,45.58,44.52,58.37,56.84,3.06,2.65,0.94,4.47,1.06,1.53,0.41,11.01,90.43
"Alex Turcotte","21-22","L.A","C",8,86.78,48.13,56.45,55.02,53.51,51.24,1.33,1.44,27.3,21.06,39.57,32.34,51.85,45.04,2.14,2.04,-0.1,6.24,7.23,6.81,0.1,4.89,93.17
"Alex Wennberg","21-22","SEA","C",64,912.13,44.36,49.97,49.52,49.57,45.7,2.08,2.61,28.51,28.55,38.22,38.97,50.93,51.81,1.96,2.33,-0.53,-0.04,-0.75,-0.88,-0.37,7.29,90.86
"Alexei Toropchenko","21-22","STL","R",15,144.47,44.29,53.51,50.79,48.39,54.74,1.69,2.13,30.36,26.38,42.44,41.13,50.81,54.19,2.57,2.12,-0.44,3.98,1.32,-3.37,0.44,5.57,91.94
"Alexis Lafrenière","21-22","NYR","L",64,790.23,49.92,46.42,45.77,45.86,49.35,2.49,2.5,27.28,31.49,37.42,44.34,48.99,57.83,2.49,2.56,-0.01,-4.2,-6.91,-8.84,-0.07,9.14,92.06
