"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1519.7,15,13,29,57,180,233,317,10.6,8.33,6.44,4.55,69,73,43,62,54,13,9,0,0,-4,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,41,700.33,11,3,6,20,52,74,110,3.79,21.15,14.86,5.12,35,23,9,19,39,5,6,0,0,1,0,0,0
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,76.92,2,0,0,2,5,6,7,1.03,40,33.33,17.17,2,1,2,2,11,1,1,0,0,0,17,12,5
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,9,71.62,0,0,0,0,6,8,10,0.38,0,0,4.75,3,1,1,2,8,0,0,0,0,0,1,2,-1
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,65,881.22,4,7,4,15,87,112,137,8.01,4.6,3.57,7.15,40,16,19,122,53,11,8,2,2,-3,33,29,4
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,63,1515.02,10,31,23,64,119,150,211,6.28,8.4,6.67,4.19,115,47,63,27,88,9,12,0,0,3,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI","C","R",1996-10-03,24,2015,5,149,8,84.17,1,0,1,2,10,14,19,1.14,10,7.14,8.14,1,1,3,9,6,2,3,0,0,1,2,3,-1
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","OTT","C","R",1996-10-03,24,2015,5,149,33,396.97,4,5,3,12,65,86,111,5.55,6.15,4.65,6.45,7,10,15,44,25,3,3,1,1,0,38,56,-18
"Adam Henrique","ADAM.HENRIQUE","8474641","21-22","ANA","C","L",1990-02-06,31,2008,3,82,44,755,14,11,6,31,107,148,179,15.48,13.08,9.46,10.46,39,16,14,19,36,4,5,0,0,1,184,147,37
"Adam Larsson","ADAM.LARSSON","8476457","21-22","SEA","D","R",1992-11-12,28,2011,1,4,66,1448.38,6,7,6,19,88,136,197,2.94,6.82,4.41,2.16,112,31,18,145,69,19,7,1,1,-12,0,0,0
"Adam Lowry","ADAM.LOWRY","8476392","21-22","WPG","C/L","L",1993-03-29,28,2011,3,67,64,983.47,10,5,2,17,86,124,150,12.9,11.63,8.06,10.4,32,17,35,197,83,6,15,6,6,9,438,388,50
"Adam Pelech","ADAM.PELECH","8476917","21-22","NYI","D","L",1994-08-16,27,2012,3,65,60,1275.77,3,9,11,23,75,103,165,4.64,4,2.91,4.5,97,40,30,83,89,6,3,0,0,-3,0,0,0
"Adam Ruzicka","ADAM.RUZICKA","8480008","21-22","CGY","C","L",1999-05-11,22,2017,4,109,23,233.73,5,4,0,9,27,38,47,2.73,18.52,13.16,7.18,5,8,4,19,19,4,3,0,0,-1,91,99,-8
"Adrian Kempe","ADRIAN.KEMPE","8477960","21-22","L.A","C/L","L",1996-09-13,25,2014,1,29,65,1192.43,28,4,10,42,188,261,351,23.48,14.89,10.73,9,21,35,29,84,59,19,23,0,0,4,21,21,0
"Alec Martinez","ALEC.MARTINEZ","8474166","21-22","VGK","D","L",1987-07-26,34,2007,4,95,12,233.55,0,0,3,3,12,15,24,0.26,0,0,1.73,35,11,5,12,19,2,1,0,0,-1,0,0,0
"Alec Regula","ALEC.REGULA","8480831","21-22","CHI","D","R",2000-08-06,21,2018,3,67,6,96.33,0,0,0,0,2,3,7,0.09,0,0,3,5,4,3,9,16,1,3,0,0,2,0,0,0
"Aleksander Barkov","ALEKSANDER.BARKOV","8477493","21-22","FLA","C","L",1995-09-02,26,2013,1,2,52,1061.03,28,16,20,64,167,213,263,21.6,16.77,13.15,10.14,35,37,50,43,55,5,7,0,1,3,574,454,120
"Aleksi Heponiemi","ALEKSI.HEPONIEMI","8480037","21-22","FLA","C","L",1999-01-09,22,2017,2,40,4,50.63,0,0,0,0,5,6,6,0.6,0,0,10,1,3,3,0,4,0,0,0,0,0,2,3,-1
"Alex Barabanov","ALEX.BARABANOV","8482222","21-22","S.J","L","L",1994-06-17,27,2012,NA,NA,57,976.63,10,14,12,36,78,104,130,8.8,12.82,9.62,8.46,35,27,31,42,99,6,11,0,0,5,0,1,-1
"Alex Barre-Boulet","ALEX.BARRE-BOULET","8479718","21-22","T.B","C","L",1997-05-21,24,2015,NA,NA,14,158.75,3,2,0,5,16,21,27,2.1,18.75,14.29,10,3,2,4,10,6,2,3,0,0,1,6,9,-3
"Alex Belzile","ALEX.BELZILE","8475968","21-22","MTL","R","R",1991-08-31,30,2009,NA,NA,11,114.32,0,0,0,0,13,14,19,1.04,0,0,7.43,5,5,3,17,12,2,2,0,0,0,6,7,-1
"Alex Carrier","ALEX.CARRIER","8478851","21-22","NSH","D","R",1996-10-08,24,2015,4,115,61,1270.82,2,12,11,25,74,102,151,4.4,2.7,1.96,4.31,99,27,24,61,152,22,15,0,0,-7,0,1,-1
