Player,Season,Team,Position,GP,TOI,G,A1,A2,Points,iSF,iFF,iCF,ixG,Sh%,FSh%,xFSh%,iBLK,GIVE,TAKE,iHF,iHA,iPENT2,iPEND2,iPENT5,iPEND5,iPEN±,FOW,FOL,FO±
Aaron Ekblad,20-21,FLA,D,35,878.18,11,5,6,22,101,144,193,6.81,10.89,7.64,4.73,27,22,11,24,46,14,8,1,1,-6,0,0,0
Adam Boqvist,20-21,CHI,D,35,594.65,2,2,12,16,39,52,83,2.84,5.13,3.85,5.46,29,21,7,29,47,8,11,0,0,3,0,0,0
Adam Brooks,20-21,TOR,C,11,117.45,4,0,1,5,10,10,14,1.21,40,40,12.1,2,4,4,14,20,0,1,0,0,1,7,10,-3
Adam Erne,20-21,DET,L,45,626.45,11,3,6,20,71,91,105,7.87,15.49,12.09,8.65,16,6,10,82,27,8,2,2,2,-6,20,14,6
Adam Fox,20-21,NYR,D,55,1358.85,5,19,23,47,102,139,181,5.79,4.9,3.6,4.17,102,36,38,23,65,7,5,0,0,-2,0,1,-1
Adam Gaudette,20-21,CHI/VAN,C,40,444.85,5,3,3,11,66,91,109,7.62,7.58,5.49,8.37,22,6,9,16,36,6,7,0,0,1,53,71,-18
Adam Henrique,20-21,ANA,C,45,721.8,12,6,3,21,77,102,129,7.96,15.58,11.76,7.8,32,20,11,40,30,3,6,1,1,3,303,244,59
Adam Larsson,20-21,EDM,D,56,1100.25,4,2,4,10,52,92,130,2.27,7.69,4.35,2.47,128,42,12,166,88,12,4,0,0,-8,1,0,1
Adam Lowry,20-21,WPG,L,52,807.35,10,7,7,24,80,108,137,9.51,12.5,9.26,8.81,30,13,16,161,82,4,9,1,1,5,361,354,7
Adam Pelech,20-21,NYI,D,56,1178.6,4,5,5,14,82,123,180,4.04,4.88,3.25,3.28,73,46,25,66,92,9,6,0,0,-3,0,0,0
Adrian Kempe,20-21,L.A,L,56,948.22,14,13,2,29,127,174,238,12.06,11.02,8.05,6.93,21,20,15,47,54,14,8,0,0,-6,27,41,-14
Alec Martinez,20-21,VGK,D,53,1195.98,9,9,14,32,85,122,183,6.78,10.59,7.38,5.56,168,26,12,44,107,6,1,0,0,-5,0,0,0
Aleksander Barkov,20-21,FLA,C,50,1046.87,26,25,7,58,176,221,261,20.21,14.77,11.76,9.14,37,23,39,31,81,7,16,0,0,9,563,463,100
Aleksi Heponiemi,20-21,FLA,C,9,110.13,1,0,1,2,15,19,21,1.89,6.67,5.26,9.95,1,3,6,0,6,1,2,0,0,1,0,0,0
Alex Barabanov,20-21,S.J/TOR,L,22,270.87,3,2,3,8,23,30,42,2.98,13.04,10,9.93,14,9,9,7,25,3,3,0,0,0,0,0,0
Alex Barre-Boulet,20-21,T.B,C,15,228.78,3,0,0,3,26,37,47,3.11,11.54,8.11,8.41,5,4,4,8,10,0,0,0,0,0,1,3,-2
Alex Biega,20-21,DET,D,13,138.6,0,2,1,3,4,9,18,0.14,0,0,1.56,11,4,0,22,10,2,2,0,0,0,0,0,0
Alex Carrier,20-21,NSH,D,19,380.9,1,1,1,3,31,48,68,1.91,3.23,2.08,3.98,31,9,10,22,33,4,5,0,0,1,0,0,0
Alex Chiasson,20-21,EDM,R,45,561.78,9,3,4,16,65,85,99,9.7,13.85,10.59,11.41,7,10,13,40,51,4,1,3,2,-4,2,3,-1
Alex Debrincat,20-21,CHI,R,52,1067.07,32,14,10,56,155,199,268,19.57,20.65,16.08,9.83,22,43,31,70,89,6,18,0,0,12,16,24,-8
Alex Edler,20-21,VAN,D,52,1087.13,0,5,3,8,99,132,177,2.35,0,0,1.78,118,26,13,80,113,19,8,2,1,-12,0,0,0
Alex Formenton,20-21,OTT,L,20,239.88,4,1,1,6,27,33,39,2.86,14.81,12.12,8.67,8,6,11,23,14,3,5,0,0,2,1,4,-3
Alex Galchenyuk,20-21,OTT/TOR,C,34,432.02,5,5,3,13,62,87,100,7.02,8.06,5.75,8.07,10,16,6,44,53,10,5,0,0,-5,3,3,0
Alex Goligoski,20-21,ARI,D,56,1288.37,3,7,12,22,72,94,157,2.99,4.17,3.19,3.18,108,33,14,76,80,7,8,0,0,1,0,0,0
Alex Iafallo,20-21,L.A,L,55,1093.8,13,10,7,30,119,159,191,14.67,10.92,8.18,9.23,39,9,15,26,57,2,6,0,0,4,2,5,-3
Alex Kerfoot,20-21,TOR,C,56,808.88,8,8,7,23,68,92,118,9.13,11.76,8.7,9.92,34,30,17,41,118,6,10,0,0,4,124,180,-56
Alex Killorn,20-21,T.B,C,56,1001.6,15,11,7,33,121,165,204,13.9,12.4,9.09,8.42,12,10,14,59,50,16,13,1,1,-3,1,2,-1
Alex Newhook,20-21,COL,C,6,82.07,0,1,2,3,8,16,21,1.36,0,0,8.5,1,0,2,3,7,1,1,0,0,0,16,21,-5
Alex Ovechkin,20-21,WSH,L,45,877.58,24,11,7,42,182,265,351,18,13.19,9.06,6.79,23,20,11,98,27,6,13,0,0,7,0,2,-2
Alex Pietrangelo,20-21,VGK,D,41,1001.73,7,7,9,23,126,183,278,6.89,5.56,3.83,3.77,80,22,23,28,87,8,8,0,0,0,0,0,0
Alex Radulov,20-21,DAL,R,11,195.68,4,6,2,12,25,34,45,3.51,16,11.76,10.32,5,6,3,4,13,3,3,0,0,0,1,1,0
Alex Romanov,20-21,MTL,D,54,931.83,1,3,2,6,71,113,191,2.48,1.41,0.88,2.19,60,49,8,138,148,8,7,1,1,-1,0,0,0
Alex Texier,20-21,CBJ,C,49,776.13,4,6,5,15,75,104,141,5.7,5.33,3.85,5.48,19,13,24,49,37,11,11,0,0,0,128,228,-100
Alex True,20-21,S.J,C,7,69.93,0,1,0,1,7,9,10,0.73,0,0,8.11,5,1,2,4,13,3,2,0,0,-1,18,30,-12
Alex Tuch,20-21,VGK,R,55,925.45,18,11,4,33,142,200,242,18.76,12.68,9,9.38,36,18,39,52,76,14,16,0,0,2,12,20,-8
Alex Volkov,20-21,ANA/T.B,R,37,431,7,1,5,13,35,43,51,4.68,20,16.28,10.88,26,5,11,36,46,3,3,0,0,0,2,3,-1
Alex Wennberg,20-21,FLA,C,56,1017.35,17,7,5,29,82,105,133,9.48,20.73,16.19,9.03,36,22,30,29,75,4,12,0,0,8,388,400,-12
Alexis Lafrenière,20-21,NYR,L,56,777.42,12,6,3,21,67,94,115,8.08,17.91,12.77,8.6,11,18,15,43,65,4,6,0,0,2,13,18,-5
Anders Bjork,20-21,BOS/BUF,L,45,624.68,5,4,2,11,41,62,83,3.86,12.2,8.06,6.23,13,13,25,48,50,7,6,0,0,-1,0,1,-1
Anders Lee,20-21,NYI,C,27,473.2,12,5,2,19,80,99,117,9.59,15,12.12,9.69,13,9,7,39,37,6,7,0,0,1,63,65,-2
Andre Burakovsky,20-21,COL,L,53,799.88,19,15,10,44,102,133,180,9.56,18.63,14.29,7.19,16,24,16,22,69,5,7,0,0,2,2,2,0
Andreas Athanasiou,20-21,L.A,C,47,702.62,10,9,4,23,85,116,153,8.47,11.76,8.62,7.3,16,10,18,11,48,6,12,3,3,6,4,0,4
Andreas Borgman,20-21,T.B,D,7,83.72,0,0,2,2,7,12,23,0.36,0,0,3,3,3,2,10,16,2,2,0,0,0,0,0,0
Andreas Johnsson,20-21,N.J,L,50,696.7,5,4,2,11,65,87,104,6.97,7.69,5.75,8.01,17,13,23,39,51,7,8,0,0,1,11,17,-6
Andrei Svechnikov,20-21,CAR,R,55,964.65,15,13,14,42,147,202,288,19.9,10.2,7.43,9.85,18,45,23,114,93,23,18,0,0,-5,2,4,-2
Andrej Sekera,20-21,DAL,D,46,719.43,3,1,1,5,33,45,76,1.35,9.09,6.67,3,62,20,8,47,53,2,1,0,0,-1,0,0,0
Andrew Cogliano,20-21,DAL,C,54,752.02,5,4,2,11,88,119,156,7.54,5.68,4.2,6.34,24,10,12,79,54,8,12,2,2,4,4,11,-7
Andrew Copp,20-21,WPG,C,55,1003.77,15,13,11,39,115,146,177,15.44,13.04,10.27,10.58,41,25,22,67,51,10,13,0,0,3,123,109,14
Andrew Mangiapane,20-21,CGY,L,56,933.42,18,12,2,32,91,130,169,13,19.78,13.85,10,33,18,40,51,48,12,11,0,0,-1,2,15,-13
Andrew Peeke,20-21,CBJ,D,11,188.68,0,0,3,3,5,9,13,0.28,0,0,3.11,15,6,5,35,16,2,1,0,0,-1,0,0,0
Andrew Shaw,20-21,CHI,C,14,211.55,2,2,0,4,25,30,39,2.19,8,6.67,7.3,4,3,3,20,21,3,5,0,0,2,30,26,4
Andy Andreoff,20-21,PHI,C,6,51.65,0,0,0,0,2,4,4,0.05,0,0,1.25,1,0,1,14,2,2,0,1,1,-2,15,9,6
Andy Greene,20-21,NYI,D,55,966.78,1,2,2,5,50,78,125,1.87,2,1.28,2.4,99,19,6,41,75,3,1,0,0,-2,0,0,0
Andy Welinski,20-21,ANA,D,13,195.33,0,0,0,0,16,25,35,0.4,0,0,1.6,7,7,2,14,9,0,1,0,0,1,0,0,0
Anthony Angello,20-21,PIT,C,19,151.68,2,2,0,4,19,22,27,1.06,10.53,9.09,4.82,2,1,1,51,22,4,1,0,0,-3,0,0,0
Anthony Beauvillier,20-21,NYI,L,47,770.85,15,6,7,28,109,142,174,11.72,13.76,10.56,8.25,13,27,15,39,62,6,9,0,0,3,2,5,-3
Anthony Bitetto,20-21,NYR,D,14,202.17,1,1,2,4,12,17,25,0.5,8.33,5.88,2.94,10,3,2,21,26,5,3,2,2,-2,0,0,0
Anthony Cirelli,20-21,T.B,C,50,887.35,9,4,9,22,75,97,111,9.26,12,9.28,9.55,32,19,21,64,66,5,13,0,0,8,227,235,-8
Anthony Duclair,20-21,FLA,L,43,674.43,10,14,8,32,104,130,167,12.37,9.62,7.69,9.52,9,15,11,32,49,9,16,0,0,7,0,2,-2
