,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank
0,HC FirePucks,1,Home,88.6,Team Ginsberg,137.4,-1,AWAY,10.0
1,Brown Shoes w/ a Black Belt?,1,Home,129.4,Baltimore Bandits,158.8,-1,AWAY,7.0
2,Esther Island Esthers,1,Home,160.0,That Hoser Over There,129.45,-1,HOME,1.0
3,Lausanne  Automatons ,1,Home,121.05,Vasili's POD SQUAD,133.55,-1,AWAY,9.0
4,DadKnows Best,1,Home,141.55,Carolina Tony,125.0,-1,HOME,3.0
0,Team Ginsberg,1,Away,137.4,HC FirePucks,88.6,-1,AWAY,4.0
1,Baltimore Bandits,1,Away,158.8,Brown Shoes w/ a Black Belt?,129.4,-1,AWAY,2.0
2,That Hoser Over There,1,Away,129.45,Esther Island Esthers,160.0,-1,HOME,6.0
3,Vasili's POD SQUAD,1,Away,133.55,Lausanne  Automatons ,121.05,-1,AWAY,5.0
4,Carolina Tony,1,Away,125.0,DadKnows Best,141.55,-1,HOME,8.0
0,Baltimore Bandits,2,Home,202.95,That Hoser Over There,176.85,-1,HOME,4.0
1,Vasili's POD SQUAD,2,Home,212.4,HC FirePucks,191.5,-1,HOME,1.0
2,Carolina Tony,2,Home,157.6,Team Ginsberg,166.05,-1,AWAY,10.0
3,Lausanne  Automatons ,2,Home,211.3,Brown Shoes w/ a Black Belt?,165.5,-1,HOME,2.0
4,DadKnows Best,2,Home,171.05,Esther Island Esthers,204.65,-1,AWAY,7.0
0,That Hoser Over There,2,Away,176.85,Baltimore Bandits,202.95,-1,HOME,6.0
1,HC FirePucks,2,Away,191.5,Vasili's POD SQUAD,212.4,-1,HOME,5.0
2,Team Ginsberg,2,Away,166.05,Carolina Tony,157.6,-1,AWAY,8.0
3,Brown Shoes w/ a Black Belt?,2,Away,165.5,Lausanne  Automatons ,211.3,-1,HOME,9.0
4,Esther Island Esthers,2,Away,204.65,DadKnows Best,171.05,-1,AWAY,3.0
0,Vasili's POD SQUAD,3,Home,168.45,Carolina Tony,199.75,-1,AWAY,8.0
1,Baltimore Bandits,3,Home,223.55,Lausanne  Automatons ,230.0,-1,AWAY,2.0
2,That Hoser Over There,3,Home,198.25,DadKnows Best,77.7,-1,HOME,5.0
3,HC FirePucks,3,Home,147.5,Brown Shoes w/ a Black Belt?,181.1,-1,AWAY,9.0
4,Team Ginsberg,3,Home,173.35,Esther Island Esthers,207.4,-1,AWAY,7.0
0,Carolina Tony,3,Away,199.75,Vasili's POD SQUAD,168.45,-1,AWAY,4.0
1,Lausanne  Automatons ,3,Away,230.0,Baltimore Bandits,223.55,-1,AWAY,1.0
2,DadKnows Best,3,Away,77.7,That Hoser Over There,198.25,-1,HOME,10.0
3,Brown Shoes w/ a Black Belt?,3,Away,181.1,HC FirePucks,147.5,-1,AWAY,6.0
4,Esther Island Esthers,3,Away,207.4,Team Ginsberg,173.35,-1,AWAY,3.0
0,Lausanne  Automatons ,4,Home,152.85,DadKnows Best,158.45,-1,AWAY,10.0
1,Brown Shoes w/ a Black Belt?,4,Home,187.2,Vasili's POD SQUAD,202.35,-1,AWAY,7.0
2,Esther Island Esthers,4,Home,214.5,Carolina Tony,255.85,-1,AWAY,3.0
3,HC FirePucks,4,Home,169.35,Baltimore Bandits,192.15,-1,AWAY,8.0
4,Team Ginsberg,4,Home,251.1,That Hoser Over There,206.65,-1,HOME,2.0
0,DadKnows Best,4,Away,158.45,Lausanne  Automatons ,152.85,-1,AWAY,9.0
1,Vasili's POD SQUAD,4,Away,202.35,Brown Shoes w/ a Black Belt?,187.2,-1,AWAY,5.0
2,Carolina Tony,4,Away,255.85,Esther Island Esthers,214.5,-1,AWAY,1.0
3,Baltimore Bandits,4,Away,192.15,HC FirePucks,169.35,-1,AWAY,6.0
4,That Hoser Over There,4,Away,206.65,Team Ginsberg,251.1,-1,HOME,4.0
0,Brown Shoes w/ a Black Belt?,5,Home,158.95,Esther Island Esthers,183.1,-1,AWAY,9.0
1,Lausanne  Automatons ,5,Home,163.1,HC FirePucks,162.35,-1,HOME,7.0
2,DadKnows Best,5,Home,111.7,Team Ginsberg,203.1,-1,AWAY,10.0
3,Vasili's POD SQUAD,5,Home,199.8,Baltimore Bandits,239.65,-1,AWAY,4.0
4,Carolina Tony,5,Home,258.1,That Hoser Over There,189.3,-1,HOME,1.0
0,Esther Island Esthers,5,Away,183.1,Brown Shoes w/ a Black Belt?,158.95,-1,AWAY,6.0
1,HC FirePucks,5,Away,162.35,Lausanne  Automatons ,163.1,-1,HOME,8.0
2,Team Ginsberg,5,Away,203.1,DadKnows Best,111.7,-1,AWAY,3.0
3,Baltimore Bandits,5,Away,239.65,Vasili's POD SQUAD,199.8,-1,AWAY,2.0
4,That Hoser Over There,5,Away,189.3,Carolina Tony,258.1,-1,HOME,5.0
0,Team Ginsberg,6,Home,228.15,Baltimore Bandits,183.45,-1,HOME,1.0
1,That Hoser Over There,6,Home,183.85,Vasili's POD SQUAD,191.8,-1,AWAY,4.0
2,Carolina Tony,6,Home,189.7,Lausanne  Automatons ,135.55,-1,HOME,3.0
3,DadKnows Best,6,Home,123.35,Brown Shoes w/ a Black Belt?,150.4,-1,AWAY,10.0
4,Esther Island Esthers,6,Home,162.6,HC FirePucks,133.45,-1,HOME,6.0
0,Baltimore Bandits,6,Away,183.45,Team Ginsberg,228.15,-1,HOME,5.0
1,Vasili's POD SQUAD,6,Away,191.8,That Hoser Over There,183.85,-1,AWAY,2.0
2,Lausanne  Automatons ,6,Away,135.55,Carolina Tony,189.7,-1,HOME,8.0
3,Brown Shoes w/ a Black Belt?,6,Away,150.4,DadKnows Best,123.35,-1,AWAY,7.0
4,HC FirePucks,6,Away,133.45,Esther Island Esthers,162.6,-1,HOME,9.0
0,Vasili's POD SQUAD,7,Home,166.35,Team Ginsberg,211.8,-1,AWAY,6.0
1,Lausanne  Automatons ,7,Home,148.35,That Hoser Over There,144.1,-1,HOME,7.0
2,Brown Shoes w/ a Black Belt?,7,Home,145.4,Carolina Tony,242.3,-1,AWAY,8.0
3,HC FirePucks,7,Home,175.65,DadKnows Best,133.05,-1,HOME,5.0
4,Baltimore Bandits,7,Home,223.5,Esther Island Esthers,193.55,-1,HOME,2.0
0,Team Ginsberg,7,Away,211.8,Vasili's POD SQUAD,166.35,-1,AWAY,3.0
1,That Hoser Over There,7,Away,144.1,Lausanne  Automatons ,148.35,-1,HOME,9.0
2,Carolina Tony,7,Away,242.3,Brown Shoes w/ a Black Belt?,145.4,-1,AWAY,1.0
3,DadKnows Best,7,Away,133.05,HC FirePucks,175.65,-1,HOME,10.0
4,Esther Island Esthers,7,Away,193.55,Baltimore Bandits,223.5,-1,HOME,4.0
0,Team Ginsberg,8,Home,331.65,Lausanne  Automatons ,113.9,-1,HOME,1.0
1,That Hoser Over There,8,Home,220.65,Brown Shoes w/ a Black Belt?,178.7,-1,HOME,3.0
2,Carolina Tony,8,Home,230.2,HC FirePucks,170.4,-1,HOME,2.0
3,DadKnows Best,8,Home,136.9,Baltimore Bandits,199.3,-1,AWAY,9.0
4,Esther Island Esthers,8,Home,173.2,Vasili's POD SQUAD,209.5,-1,AWAY,7.0
0,Lausanne  Automatons ,8,Away,113.9,Team Ginsberg,331.65,-1,HOME,10.0
1,Brown Shoes w/ a Black Belt?,8,Away,178.7,That Hoser Over There,220.65,-1,HOME,6.0
2,HC FirePucks,8,Away,170.4,Carolina Tony,230.2,-1,HOME,8.0
3,Baltimore Bandits,8,Away,199.3,DadKnows Best,136.9,-1,AWAY,5.0
4,Vasili's POD SQUAD,8,Away,209.5,Esther Island Esthers,173.2,-1,AWAY,4.0
0,Brown Shoes w/ a Black Belt?,9,Home,164.65,Team Ginsberg,233.35,-1,AWAY,9.0
1,HC FirePucks,9,Home,172.95,Lausanne  Automatons ,170.65,-1,HOME,6.0
2,That Hoser Over There,9,Home,234.5,Esther Island Esthers,153.7,-1,HOME,2.0
3,Baltimore Bandits,9,Home,167.75,Vasili's POD SQUAD,205.05,-1,AWAY,8.0
4,Carolina Tony,9,Home,248.35,DadKnows Best,201.6,-1,HOME,1.0
0,Team Ginsberg,9,Away,233.35,Brown Shoes w/ a Black Belt?,164.65,-1,AWAY,3.0
1,Lausanne  Automatons ,9,Away,170.65,HC FirePucks,172.95,-1,HOME,7.0
2,Esther Island Esthers,9,Away,153.7,That Hoser Over There,234.5,-1,HOME,10.0
3,Vasili's POD SQUAD,9,Away,205.05,Baltimore Bandits,167.75,-1,AWAY,4.0
4,DadKnows Best,9,Away,201.6,Carolina Tony,248.35,-1,HOME,5.0
0,HC FirePucks,10,Home,132.4,That Hoser Over There,160.85,-1,AWAY,6.0
1,Baltimore Bandits,10,Home,106.25,Brown Shoes w/ a Black Belt?,99.55,-1,HOME,8.0
2,Team Ginsberg,10,Home,156.55,Carolina Tony,188.95,-1,AWAY,3.0
3,Vasili's POD SQUAD,10,Home,117.8,Lausanne  Automatons ,148.85,-1,AWAY,7.0
4,Esther Island Esthers,10,Home,147.2,DadKnows Best,87.9,-1,HOME,5.0
0,That Hoser Over There,10,Away,160.85,HC FirePucks,132.4,-1,AWAY,2.0
1,Brown Shoes w/ a Black Belt?,10,Away,99.55,Baltimore Bandits,106.25,-1,HOME,9.0
