,Player Name,Team Name,Position,Week Number,Points,+/-,A,ATOI,BLK,DEF,FOL,FOW,G,GA,GAA,GP,GS,GWG,HAT,HIT,L,MIN ?,OTL,PIM,PPG,PPP,SA,SHA,SHG,SHP,SO,SOG,SV,SV%,TTOI ?,W,FPPG,Over 3 FPPG,Over 4 FPPG
0,Elias Lindholm,HC FirePucks,Left Wing,1,6.0,0.0,0.0,1421.0,2.0,,11.0,14.0,1.0,,,1.0,,0.0,,1.0,,,,0.0,1.0,1.0,,0.0,0.0,0.0,,3.0,,,1421.0,,6.0,True,True
1,Yegor Sharangovich,HC FirePucks,0,1,2.55,2.0,1.0,1130.0,2.0,,0.0,1.0,0.0,,,1.0,,0.0,,1.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,1130.0,,2.55,False,False
2,Vince Dunn,HC FirePucks,Right Wing,1,3.5,-1.0,1.0,917.5,0.0,1.0,0.0,0.0,0.0,,,2.0,,0.0,,4.0,,,,5.0,0.0,0.0,,0.0,0.0,0.0,,6.0,,,1835.0,,1.75,False,False
3,Victor Olofsson,HC FirePucks,Left Wing,1,9.4,0.0,1.0,1097.5,1.0,,0.0,0.0,1.0,,,2.0,,0.0,,0.0,,,,2.0,1.0,2.0,,0.0,0.0,0.0,,8.0,,,2195.0,,4.7,True,True
4,Shea Theodore,HC FirePucks,Right Wing,1,4.65,0.0,0.0,1126.0,1.0,1.0,0.0,0.0,1.0,,,2.0,,0.0,,1.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2252.0,,2.325,False,False
5,Bowen Byram,HC FirePucks,Right Wing,1,0.45,0.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,,1.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,,1255.0,,0.45,False,False
6,Tim Stutzle,HC FirePucks,Center,1,4.95,1.0,1.0,1098.33333333,3.0,,3.0,0.0,0.0,,,3.0,,0.0,,5.0,,,,2.0,0.0,1.0,,0.0,0.0,0.0,,4.0,,,3295.0,,1.6500000000000001,False,False
7,John Gibson,HC FirePucks,Goalie,1,10.6,,,,,,,,,1.0,1.0,,1.0,,,,0.0,3600.0,0.0,,,0.0,34.0,,,0.0,,,33.0,0.97058824,,1.0,10.6,True,True
8,Alex Newhook,HC FirePucks,0,1,0.35,0.0,0.0,630.0,1.0,,2.0,0.0,0.0,,,1.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,,630.0,,0.35,False,False
9,Rasmus Dahlin,HC FirePucks,Right Wing,1,4.5,1.0,1.0,1352.0,3.0,1.0,0.0,0.0,0.0,,,2.0,,0.0,,3.0,,,,2.0,0.0,1.0,,0.0,0.0,0.0,,3.0,,,2704.0,,2.25,False,False
10,Martin Necas,HC FirePucks,0,1,3.1,-2.0,1.0,917.0,1.0,,3.0,1.0,0.0,,,2.0,,0.0,,1.0,,,,2.0,0.0,0.0,,0.0,0.0,0.0,,5.0,,,1834.0,,1.55,False,False
11,Juuse Saros,HC FirePucks,Goalie,1,-0.8,,,,,,,,,5.0,2.53771324,,2.0,,,,2.0,7093.0,0.0,,,0.0,56.0,,,0.0,0.0,,51.0,0.91071429,,0.0,-0.4,False,False
12,Jordan Kyrou,HC FirePucks,0,1,4.35,2.0,2.0,839.0,1.0,,0.0,0.0,0.0,,,1.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,,839.0,,4.35,True,True
13,Jared McCann,HC FirePucks,Center,1,12.75,-1.0,1.0,1053.0,2.0,,25.0,18.0,2.0,,,3.0,,0.0,,4.0,,,,0.0,1.0,1.0,,0.0,0.0,0.0,,5.0,,,3159.0,,4.25,True,True
14,Cole Perfetti,HC FirePucks,0,1,0.3,-2.0,0.0,535.5,0.0,,0.0,0.0,0.0,,,2.0,,0.0,,1.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,,1071.0,,0.15,False,False
15,Johnny Gaudreau,HC FirePucks,Center,1,0.45,-1.0,0.0,1437.0,0.0,,0.0,0.0,0.0,,,1.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,3.0,,,1437.0,,0.45,False,False
16,Ivan Provorov,HC FirePucks,Right Wing,1,3.25,2.0,1.0,1763.0,4.0,1.0,0.0,0.0,0.0,,,1.0,,0.0,,1.0,,,,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,,1763.0,,3.25,True,False
17,Eeli Tolvanen,HC FirePucks,Center,1,6.1,1.0,0.0,880.5,0.0,,0.0,0.0,1.0,,,2.0,,0.0,,2.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,12.0,,,1761.0,,3.05,True,False
18,Mikko Rantanen,HC FirePucks,Left Wing,1,5.55,3.0,2.0,1332.0,1.0,,1.0,1.0,0.0,,,2.0,,0.0,,1.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,8.0,,,2664.0,,2.775,False,False
19,Josh Norris,HC FirePucks,0,1,7.2,0.0,0.0,1076.66666667,2.0,,32.0,21.0,1.0,,,3.0,,0.0,,4.0,,,,0.0,1.0,1.0,,0.0,0.0,0.0,,8.0,,,3230.0,,2.4,False,False
