,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank,Points,+/-,A,ATOI,BLK,DEF,FOL,FOW,G,GA,GAA,GP,GS,GWG,HAT,HIT,L,MIN ?,OTL,PIM,PPG,PPP,SA,SHA,SHG,SHP,SO,SOG,SV,SV%,TTOI ?,W,FPPG,Over 3 FPPG,Over 4 FPPG,"Fantasy Points Rank, Whole Season"
0,HC FirePucks,1,Home,88.6,Team Ginsberg,137.4,-1,AWAY,10.0,88.6,4.0,13.0,21323.0,26.0,5.0,77.0,56.0,7.0,16.0,8.62389578,34.0,5.0,0.0,0.0,32.0,4.0,17771.0,0.0,15.0,4.0,7.0,159.0,0.0,0.0,0.0,0.0,80.0,143.0,2.7363749900000003,37399.0,1.0,54.14999999999999,7.0,5.0,233.0
1,Brown Shoes w/ a Black Belt?,1,Home,129.4,Baltimore Bandits,158.8,-1,AWAY,7.0,129.39999999999998,-9.0,14.0,20148.83333334,29.0,5.0,107.0,104.0,11.0,8.0,6.97286715,41.0,3.0,2.0,0.0,50.0,1.0,9679.0,0.0,20.0,3.0,9.0,103.0,0.0,0.0,0.0,0.0,114.0,95.0,1.8196803199999998,46997.0,2.0,58.56666666666667,9.0,4.0,211.0
2,Esther Island Esthers,1,Home,160.0,That Hoser Over There,129.45,-1,HOME,1.0,159.99999999999997,-7.0,17.0,24688.49999999,36.0,7.0,78.0,94.0,14.0,7.0,5.0041753700000005,48.0,3.0,3.0,0.0,76.0,0.0,10785.0,0.0,37.0,5.0,12.0,80.0,0.0,0.0,0.0,0.0,112.0,73.0,1.8229166700000001,57068.0,3.0,78.35833333333333,11.0,8.0,175.0
3,Lausanne  Automatons ,1,Home,121.05,Vasili's POD SQUAD,133.55,-1,AWAY,9.0,121.05000000000001,10.0,13.0,21623.83333333,27.0,7.0,76.0,64.0,11.0,9.0,6.57355021,34.0,3.0,0.0,1.0,42.0,1.0,10735.0,0.0,14.0,3.0,9.0,100.0,0.0,0.0,0.0,0.0,81.0,91.0,1.80147059,39974.0,2.0,71.23333333333336,9.0,6.0,215.0
4,DadKnows Best,1,Home,141.55,Carolina Tony,125.0,-1,HOME,3.0,141.55,5.0,20.0,20022.33333333,21.0,4.0,63.0,57.0,9.0,10.0,7.3640152699999994,31.0,4.0,1.0,0.0,29.0,1.0,15493.0,0.0,18.0,3.0,10.0,145.0,1.0,0.0,1.0,0.0,80.0,135.0,2.75092098,32715.0,4.0,84.50833333333333,12.0,10.0,195.0
5,Team Ginsberg,1,Away,137.4,HC FirePucks,88.6,-1,AWAY,4.0,137.40000000000003,-11.0,20.0,21554.99999999,21.0,8.0,52.0,56.0,8.0,11.0,5.77363916,40.0,5.0,1.0,0.0,30.0,0.0,18599.0,2.0,16.0,2.0,10.0,155.0,0.0,0.0,0.0,0.0,106.0,144.0,2.8083636700000003,48756.0,3.0,65.89166666666668,11.0,6.0,197.0
6,Baltimore Bandits,1,Away,158.8,Brown Shoes w/ a Black Belt?,129.4,-1,AWAY,2.0,158.79999999999998,5.0,24.0,23359.33333333,22.0,13.0,67.0,76.0,17.0,8.0,7.06055406,34.0,2.0,2.0,2.0,41.0,2.0,4079.0,0.0,18.0,8.0,19.0,46.0,1.0,1.0,2.0,0.0,91.0,38.0,0.82608696,40962.0,0.0,87.43333333333335,11.0,8.0,177.0
7,That Hoser Over There,1,Away,129.45,Esther Island Esthers,160.0,-1,HOME,6.0,129.45,-3.0,22.0,25291.5,37.0,8.0,95.0,124.0,7.0,18.0,8.09922918,42.0,6.0,0.0,0.0,88.0,3.0,21437.0,1.0,29.0,2.0,11.0,167.0,0.0,1.0,1.0,0.0,87.0,149.0,2.70869149,52007.0,2.0,65.41666666666666,7.0,6.0,210.0
8,Vasili's POD SQUAD,1,Away,133.55,Lausanne  Automatons ,121.05,-1,AWAY,5.0,133.55,6.0,18.0,23018.33333333,27.0,6.0,87.0,108.0,12.0,8.0,5.10138733,39.0,3.0,2.0,0.0,42.0,1.0,10569.0,0.0,46.0,4.0,9.0,86.0,0.0,0.0,0.0,0.0,95.0,78.0,1.82163934,45593.0,2.0,81.74166666666667,15.0,8.0,204.0
9,Carolina Tony,1,Away,125.0,DadKnows Best,141.55,-1,HOME,8.0,124.99999999999999,-5.0,15.0,21504.33333334,22.0,3.0,110.0,139.0,6.0,19.0,8.45856894,39.0,7.0,0.0,0.0,55.0,2.0,24270.0,0.0,28.0,2.0,7.0,206.0,0.0,0.0,0.0,0.0,93.0,187.0,2.73947081,44224.0,5.0,65.37499999999999,7.0,5.0,212.0
